city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Lexington,8.5,17.7249559839495,18931,green,green,2600,11.7
New York,6.625,13.8150392227842,8174962,green,green,2601,8.9
Newark,8.5,17.7249559839495,277149,green,green,2601,16.5
Denver,8.17222222222222,17.041444609405,693060,green,green,2601,9.3
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2601,12.3
Louisville,8.15,16.9951048551986,1031932,green,green,2601,17.4
Bellevue,7.9,16.4737826203766,53505,green,green,2601,7.3
Greensboro,8.05,16.7865759612698,336610,green,green,2602,21.6
Duluth,5.1,10.6349735903697,279771,green,green,2602,5.6
Denver,8.17222222222222,17.041444609405,693060,green,green,2602,3.9
Philadelphia,9.46,19.7268333656661,5585211,green,green,2603,7.7
New York,6.625,13.8150392227842,8174962,green,green,2603,5.4
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2603,8.3
Seattle,5.975,12.4596014122468,3248724,green,green,2603,7.5
New York,6.625,13.8150392227842,8174962,green,green,2603,11.6
Oakland,7.83333333333333,16.3347633577574,420005,green,green,2603,6.4
Fayetteville,8.5,17.7249559839495,328726,green,green,2605,18.4
Dallas,8.2,17.099369302163,1317929,green,green,2605,9.8
Jacksonville,7.3,15.2226092568037,1171962,green,green,2605,9.6
Dallas,8.2,17.099369302163,1317929,green,green,2605,8.3
New York,6.625,13.8150392227842,8174962,green,green,2606,12.8
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2607,15
Albany,8.65,18.0377493248427,613043,green,green,2607,6.3
Greensboro,8.05,16.7865759612698,336610,green,green,2607,8.1
New York,6.625,13.8150392227842,8174962,green,green,2607,13.6
New York,6.625,13.8150392227842,8174962,green,green,2608,5.8
Jacksonville,7.3,15.2226092568037,1171962,green,green,2608,6.9
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2608,7
New York,6.625,13.8150392227842,8174962,green,green,2608,17.1
Durham,8.65,18.0377493248427,382537,green,green,2609,18.6
Las Vegas,9.1,18.9761293475224,2270187,green,green,2611,18.1
Jacksonville,7.3,15.2226092568037,1171962,green,green,2611,7.9
Missoula,7.3,15.2226092568037,109299,green,green,2612,5.5
Phoenix,8.68,18.1003079930214,1447624,green,green,2612,9.2
Baltimore,8.4,17.5164270900207,2266981,green,green,2613,16.6
Glendale,6.7,13.9714358932308,226441,green,green,2613,9.2
New York,6.625,13.8150392227842,8174962,green,green,2613,11
North Las Vegas,10.2,21.2699471807394,216686,yellow,yellow,2614,9.5
Des Moines,7.15,14.9098159159105,496779,green,green,2614,8.8
Phoenix,8.68,18.1003079930214,1447624,green,green,2614,13.1
Clarksville,7.8,16.2652537264478,260625,green,green,2615,11.6
Richmond,8.5,17.7249559839495,1029581,green,green,2615,10.1
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2615,7.1
New York,6.625,13.8150392227842,8174962,green,green,2615,10.3
San Francisco,7.5,15.6396670446613,870887,green,green,2617,7.3
Detroit,8.4,17.5164270900207,3639050,green,green,2617,21.8
Louisville,8.15,16.9951048551986,1031932,green,green,2617,10.5
Minneapolis,7.35,15.3268737037681,382603,green,green,2618,4.1
New York,6.625,13.8150392227842,8174962,green,green,2618,3.8
Omaha,7.3,15.2226092568037,780190,green,green,2618,10.6
Richmond,8.5,17.7249559839495,1029581,green,green,2619,20.3
New York,6.625,13.8150392227842,8174962,green,green,2619,14.5
Philadelphia,9.46,19.7268333656661,5585211,green,green,2619,11.3
Dallas,8.2,17.099369302163,1317929,green,green,2619,5.2
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,2620,6.6
Springfield,7.1,14.805551468946,646013,green,green,2620,16.4
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2620,8.1
New York,6.625,13.8150392227842,8174962,green,green,2620,14
Charleston,7.3,15.2226092568037,227078,green,green,2620,15.7
Jacksonville,7.3,15.2226092568037,1171962,green,green,2621,12.8
Santa Maria,7,14.5970225750172,99597,green,green,2621,13.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,2621,12.5
Washington,7.2,15.0140803628749,4955139,green,green,2621,4.7
Detroit,8.4,17.5164270900207,3639050,green,green,2622,19.5
Lexington,8.5,17.7249559839495,18931,green,green,2623,5.6
Greenville,9.6,20.0187738171665,462567,yellow,green,2623,8.3
Newark,8.5,17.7249559839495,277149,green,green,2623,17.2
Phoenix,8.68,18.1003079930214,1447624,green,green,2623,10.3
Louisville,8.15,16.9951048551986,1031932,green,green,2624,19.7
New York,6.625,13.8150392227842,8174962,green,green,2624,16.4
San Francisco,7.5,15.6396670446613,870887,green,green,2624,13.4
Richmond,8.5,17.7249559839495,1029581,green,green,2625,5.1
Dallas,8.2,17.099369302163,1317929,green,green,2625,7.9
San Francisco,7.5,15.6396670446613,870887,green,green,2625,5
Mesa,6.7,13.9714358932308,440134,green,green,2626,15.6
Louisville,8.15,16.9951048551986,1031932,green,green,2626,22.6
Stockton,12.65,26.3789050819954,403353,yellow,yellow,2627,9.9
Greensboro,8.05,16.7865759612698,336610,green,green,2627,10
New York,6.625,13.8150392227842,8174962,green,green,2628,11.4
New York,6.625,13.8150392227842,8174962,green,green,2628,12.7
